Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed
Fulham-2011,1.474,0.632,12.263,7.368,5.105,8.737,0.895,0.0,3.904,3.691,7.842105263157895
Liverpool-2011,1.211,0.526,15.737,8.579,7.211,9.211,1.421,0.105,2.079,3.667,4.684210526315789
Man City-2011,2.105,0.737,17.368,10.632,8.158,9.421,1.526,0.105,1.595,4.677,5.052631578947368
Man United-2011,2.105,0.895,15.0,9.421,7.421,10.474,1.421,0.0,1.654,4.774,6.105263157894737
Newcastle-2011,1.579,0.895,11.632,6.526,4.105,9.895,1.737,0.0,3.333,3.604,7.947368421052632
Norwich-2011,1.263,0.579,13.211,6.842,4.474,11.0,1.632,0.053,4.583,3.742,8.31578947368421
QPR-2011,1.316,0.526,13.421,7.526,4.947,10.737,1.632,0.368,4.918,3.895,8.526315789473685
Stoke-2011,0.842,0.368,8.737,3.789,3.684,10.526,1.316,0.105,4.268,3.644,7.684210526315789
Sunderland-2011,1.158,0.526,8.737,4.684,4.526,9.632,1.263,0.105,3.896,3.624,8.68421052631579
Swansea-2011,1.333,0.667,12.222,7.278,5.444,7.944,0.611,0.056,4.296,3.646,8.333333333333334
Tottenham-2011,1.55,0.7,16.65,9.25,7.9,8.7,1.1,0.1,2.079,4.037,5.45
West Brom-2011,1.368,0.421,13.211,7.526,6.632,9.895,1.316,0.053,4.518,3.724,7.526315789473684
Wigan-2011,1.316,0.526,12.158,6.842,5.526,11.579,1.842,0.0,5.5,3.933,6.684210526315789
Wolves-2011,1.0,0.474,9.737,5.526,5.474,8.947,1.474,0.158,5.678,3.937,10.210526315789474
Arsenal-2012,1.737,0.526,14.211,8.789,7.0,9.421,1.368,0.211,1.918,4.173,4.842105263157895
Aston Villa-2012,1.778,0.778,10.778,6.167,4.667,11.778,2.167,0.056,4.671,3.813,7.666666666666667
Chelsea-2012,1.9,0.95,15.5,9.15,6.65,9.25,1.35,0.05,1.955,4.185,7.0
Everton-2012,1.211,0.737,13.158,7.579,7.158,10.211,1.632,0.053,2.593,3.827,6.631578947368421
Fulham-2012,1.105,0.579,10.474,5.737,4.526,10.053,1.474,0.105,4.112,3.707,8.578947368421053
Liverpool-2012,2.263,1.0,18.053,11.105,7.684,9.211,1.474,0.0,2.056,4.063,5.894736842105263
Man City-2012,1.684,0.842,15.053,8.789,6.579,11.421,1.842,0.105,1.718,4.406,5.368421052631579
Man United-2012,2.0,1.211,12.474,7.368,5.526,9.368,1.263,0.053,1.711,4.5,6.2631578947368425
Newcastle-2012,1.056,0.611,11.5,6.444,5.389,11.889,1.833,0.111,3.483,3.599,5.666666666666667
Norwich-2012,1.105,0.316,9.421,5.263,4.737,10.368,2.211,0.053,4.742,3.855,6.7368421052631575
QPR-2012,0.737,0.316,11.789,5.789,3.474,9.0,1.632,0.053,5.148,3.927,9.0
Reading-2012,1.158,0.263,8.947,4.632,4.684,9.474,1.211,0.053,5.742,4.131,9.842105263157896
Southampton-2012,1.3,0.75,12.95,7.25,5.6,10.25,1.4,0.1,4.353,3.832,5.4
Stoke-2012,0.842,0.263,9.105,4.158,4.421,11.263,2.0,0.105,4.191,3.546,7.2105263157894735
Sunderland-2012,1.105,0.684,9.368,5.579,4.684,10.579,1.684,0.158,4.3,3.609,8.789473684210526
